linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,GPS.lat,GPS.long,GPS.alt
-0.04964845,0.06293297,0.2882948,17.58144201,78.12062195,452.9315185546875
-0.08487582,0.22901583,0.27759743,17.58144201,78.12062195,452.9315185546875
0.087074965,0.0071573257,0.087685585,17.58144201,78.12062195,452.9315185546875
0.0143509805,0.11702871,0.16781902,17.58144201,78.12062195,452.9315185546875
0.3038965,0.4755268,0.05631256,17.58144201,78.12062195,452.9315185546875
0.2648956,-0.07079506,-0.4221058,17.58144201,78.12062195,452.9315185546875
-0.31999922,0.6428056,-0.3269949,17.58144201,78.12062195,452.9315185546875
0.41401124,-0.18608856,0.2061367,17.58144201,78.12062195,452.9315185546875
-0.33726853,0.010210991,-0.030096054,17.58144201,78.12062195,452.9315185546875
-0.00483191,0.12458706,0.228508,17.58144201,78.12062195,452.9315185546875
-0.15912262,-0.07249546,-0.23326683,17.58144201,78.12062195,452.9315185546875
-0.050491363,0.030852795,-0.343997,17.58144201,78.12062195,452.9315185546875
0.13516003,-0.034653664,0.16091251,17.58144201,78.12062195,452.9315185546875
-0.0022345483,-0.050233364,0.24918938,17.58144201,78.12062195,452.9315185546875
-0.44334987,-0.0769248,-0.2131319,17.58144201,78.12062195,452.9315185546875
0.25870115,-0.31070566,0.115338326,17.58144201,78.12062195,452.9315185546875
0.074858874,-0.07775688,0.34978104,17.58144201,78.12062195,452.9315185546875
-0.027638048,-0.080340385,0.3018589,17.58144201,78.12062195,452.9315185546875
-0.029458404,-0.119488716,0.11021519,17.58144201,78.12062195,452.9315185546875
-0.16090241,-0.060947895,0.061030388,17.58144201,78.12062195,452.9315185546875
0.048947565,-0.16450691,0.0012350082,17.58144201,78.12062195,452.9315185546875
-0.09104588,-0.05531454,-0.051362038,17.58144201,78.12062195,452.9315185546875
-0.17156449,-0.06876755,-0.072340965,17.58144201,78.12062195,452.9315185546875
-0.053986587,0.025452137,-0.18525124,17.58144201,78.12062195,452.9315185546875
0.13053848,-0.054353714,0.042984962,17.58144201,78.12062195,452.9315185546875
-0.006751068,-0.034030914,-0.08063316,17.58144201,78.12062195,452.9315185546875
-3.5312772E-4,-0.08710194,0.3113432,17.58144201,78.12062195,452.9315185546875
0.059035875,-0.028723717,-0.06489563,17.58144201,78.12062195,452.9315185546875
0.15484312,-0.32563496,-0.43163586,17.58144201,78.12062195,452.9315185546875
0.0018175896,0.21794748,0.40122986,17.58144201,78.12062195,452.9315185546875
0.014244032,-0.055867195,0.057456017,17.58144201,78.12062195,452.9315185546875
0.19287336,-0.15839338,0.08691025,17.58144201,78.12062195,452.9315185546875
-0.21414873,0.15610027,-0.29484272,17.58108274,78.12095765,471.24127197265625
-0.081116505,0.023011684,-0.15832424,17.58108274,78.12095765,471.24127197265625
0.3539962,-0.16872883,0.19969559,17.58108274,78.12095765,471.24127197265625
0.014982581,0.16218948,0.15444946,17.58108274,78.12095765,471.24127197265625
-0.12397077,-0.08943081,-0.13502407,17.58108274,78.12095765,471.24127197265625
